Structure-ID,SMILES
L0001,C1(C2=N[C@@H](CC3=CC=CC=C3)CO2)=N[C@@H](CC4=CC=CC=C4)CO1
L0002,CC([C@H]1COC(C2=N[C@@H](C(C)C)CO2)=N1)C
L0003,CCCC(CCC)[C@H]1COC(C2=N[C@@H](C(CCC)CCC)CO2)=N1
L0004,CC([C@H]1CN2C(C3=N[C@@H](C(C)C)CN3CCC2)=N1)C
L0005,CC1(C)CN2C(C3=N[C@@H](C(C)C)CN3C1)=N[C@@H](C(C)C)C2
L0006,CC([C@H]1CN(C2=CC=CC(C(C)(C)C)=C2)C(C3=N[C@@H](C(C)C)CN3C4=CC(C(C)(C)C)=CC=C4)=N1)C
L0007,CC([C@H]1CN(C2=CC=CC=C2)C(C3=N[C@@H](C(C)C)CN3C4=CC=CC=C4)=N1)C
L0008,CC([C@H]1CN(C2=CC=CC(C(F)(F)F)=C2)C(C3=N[C@@H](C(C)C)CN3C4=CC(C(F)(F)F)=CC=C4)=N1)C
L0009,C[C@H]1COC(C2=N[C@@H](C)CO2)=N1
L0010,CCCCCC[C@H]1COC(C2=N[C@@H](CCCCCC)CO2)=N1
L0011,CC(C)C[C@H]1COC(C2=N[C@@H](CC(C)C)CO2)=N1
L0012,C[C@@H](CC)[C@H]1COC(C2=N[C@@H]([C@@H](C)CC)CO2)=N1
L0013,C1(C2=N[C@@H](C3CC3)CO2)=N[C@@H](C4CC4)CO1
L0014,C1(C2=N[C@@H](C3CCCCC3)CO2)=N[C@@H](C4CCCCC4)CO1
L0015,C1(C2=N[C@@H](C3=CC=CC=C3)CO2)=N[C@@H](C4=CC=CC=C4)CO1
L0016,COC(C=C1)=CC=C1C[C@H]2COC(C3=N[C@@H](CC4=CC=C(OC)C=C4)CO3)=N2
L0017,CC(C=C1)=CC=C1C[C@H]2COC(C3=N[C@@H](CC4=CC=C(C)C=C4)CO3)=N2
L0018,O=[N+](C(C=C1)=CC=C1C[C@H]2COC(C3=N[C@@H](CC4=CC=C([N+]([O-])=O)C=C4)CO3)=N2)[O-]
L0019,CC(OC(C=C1)=CC=C1C[C@H]2COC(C3=N[C@@H](CC4=CC=C(OC(C)(C)C)C=C4)CO3)=N2)(C)C
L0020,COC(C=CC=C1)=C1C[C@H]2COC(C3=N[C@@H](CC4=CC=CC=C4OC)CO3)=N2
L0021,COC1=CC(OC)=CC(C[C@H]2COC(C3=N[C@@H](CC4=CC(OC)=CC(OC)=C4)CO3)=N2)=C1
L0022,C1(C2=N[C@@H](CC3=CC=C(C=CC=C4)C4=C3)CO2)=N[C@@H](CC5=CC(C=CC=C6)=C6C=C5)CO1
L0023,C1(C2=N[C@@H](CC3=CNC4=C3C=CC=C4)CO2)=N[C@@H](CC5=CNC6=C5C=CC=C6)CO1
L0024,C1(C2=N[C@@H](CC3=CSC4=C3C=CC=C4)CO2)=N[C@@H](CC5=CSC6=C5C=CC=C6)CO1
L0025,C1(C2=N[C@@H](C(C3=CC=CC=C3)C4=CC=CC=C4)CO2)=N[C@@H](C(C5=CC=CC=C5)C6=CC=CC=C6)CO1
L0026,CC([C@H]1CN(C2=CC=C(C(C)(C)C)C=C2)C(C3=N[C@@H](C(C)C)CN3C4=CC=C(C(C)(C)C)C=C4)=N1)C
L0027,CC([C@H]1CN(C2=CC=C(C(F)(F)F)C=C2)C(C3=N[C@@H](C(C)C)CN3C4=CC=C(C(F)(F)F)C=C4)=N1)C
L0028,CC([C@H]1CN2C(C3=N[C@@H](C(C)C)CN3CC2)=N1)C
L0029,CC([C@H]1CN2C(C3=N[C@@H](C(C)C)CN3[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5)=N1)C
L0030,CC(C1=CC=CC(N2C[C@H](CC(C)C)N=C2C3=N[C@@H](CC(C)C)CN3C4=CC=CC(C(C)(C)C)=C4)=C1)(C)C
L0031,C[C@H](CC)[C@H]1CN(C2=CC=CC(C(C)(C)C)=C2)C(C3=N[C@@H]([C@H](C)CC)CN3C4=CC(C(C)(C)C)=CC=C4)=N1
L0032,CC(C1=CC=CC(N2C[C@H](C3CCCC3)N=C2C4=N[C@@H](C5CCCC5)CN4C6=CC=CC(C(C)(C)C)=C6)=C1)(C)C
L0033,CC1(C)CN2C(C3=N[C@@H](C4CCCC4)CN3C1)=N[C@@H](C5CCCC5)C2
L0034,C12=N[C@@H](C3CCCC3)CN1CCCN4C[C@H](C5CCCC5)N=C24
